idx1,idx2,EMED,FGTED,Group,(EMED - FGTED),sum Diameter,corrected
14,15,126.73,97.062784,1.0,29.66721600000001,136.11,119.21570877440506
14,16,100.96,78.335273,1.0,22.624726999999993,119.51,95.53137592083347
14,17,102.63,76.650089,1.0,25.979911,128.24,96.45300244985033
14,18,128.58,93.815463,1.0,34.76453700000002,138.02,116.5387208912919
14,19,129.65,96.451666,1.0,33.198334,135.05,118.28807082471918
15,16,84.13,57.245285,1.0,26.884714999999993,193.48,96.52910554183896
15,17,99.93,59.449805999999995,1.0,40.48019400000001,202.21,101.34043707085583
15,18,96.61,54.291635,1.0,42.318365,211.99,99.10261051229742
15,19,114.64,61.010553,1.0,53.629447,209.02,104.93467544572466
16,17,81.56,55.556965,1.0,26.003035000000004,185.61,92.49077421728423
16,18,107.65,65.450284,1.0,42.19971600000001,195.39,105.3044376587258
16,19,119.14,72.236954,1.0,46.903046,192.42,111.20425459215305
17,18,88.86,51.122438,1.0,37.737562,204.12,93.58340218774269
17,19,117.87,64.579922,1.0,53.29007800000001,201.15,106.15403312116993
18,19,117.23,58.261858000000004,1.0,58.968142,210.93,102.75631356261152
40,41,81.66,72.3225,4.0,9.337499999999991,115.18,88.2256487867392
40,42,114.88,107.66,4.0,7.219999999999999,104.82,120.46961418414871
40,43,135.62,111.70837999999999,4.0,23.911620000000013,141.66,135.51855545436422
40,44,145.18,122.52921,4.0,22.65079,113.72,137.99639734660582
40,45,145.44,114.40161,4.0,31.038389999999993,143.69,138.81795101838537
40,46,121.35,89.44446099999999,4.0,31.905539000000005,152.38,116.45566839835747
40,47,138.64,119.05073,4.0,19.589269999999985,116.19,135.25546855011913
40,48,126.37,93.667467,4.0,32.702533,153.31,120.95637586364795
40,49,117.59,82.34943,4.0,35.240570000000005,156.85,110.69539605410837
41,42,117.56,100.12572,4.0,17.43428,140.0,123.44021326900709
41,43,129.37,96.13735500000001,4.0,33.23264499999999,176.84,130.45240953922263
41,44,140.82,109.28698,4.0,31.533019999999993,148.9,135.25904643146413
41,45,142.94,101.42514,4.0,41.51486,178.87,136.34636010324374
41,46,130.73,84.756083,4.0,45.973916999999986,187.56,122.27216948321585
41,47,126.69,102.30030000000001,4.0,24.38969999999999,151.37,129.0099176349775
41,48,135.24,82.479392,4.0,52.760608000000005,188.49,120.2731799485063
41,49,107.74,69.07867900000001,4.0,38.66132099999999,192.03,107.92952413896676
42,43,130.83,101.22864,4.0,29.601360000000014,166.48,132.45015993663213
42,44,124.6,100.45045,4.0,24.14954999999999,138.54,123.32898182887367
42,45,107.55,78.032635,4.0,29.517364999999998,168.51,109.86032050065323
